Zone;Element;Type de surface;Année;Unit;Value;Surface en hectare;surface en km2;Flag Description;Note
Haiti;Area;Arable land;1961;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1961;1000 ha;260;260000;2600;Imputed value;
Haiti;Area;Permanent meadows and pastures;1961;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1962;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1962;1000 ha;265;265000;2650;Imputed value;
Haiti;Area;Permanent meadows and pastures;1962;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1963;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1963;1000 ha;270;270000;2700;Imputed value;
Haiti;Area;Permanent meadows and pastures;1963;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1964;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1964;1000 ha;275;275000;2750;Imputed value;
Haiti;Area;Permanent meadows and pastures;1964;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1965;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1965;1000 ha;280;280000;2800;Imputed value;
Haiti;Area;Permanent meadows and pastures;1965;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1966;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1966;1000 ha;285;285000;2850;Imputed value;
Haiti;Area;Permanent meadows and pastures;1966;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1967;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1967;1000 ha;290;290000;2900;Imputed value;
Haiti;Area;Permanent meadows and pastures;1967;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1968;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1968;1000 ha;295;295000;2950;Imputed value;
Haiti;Area;Permanent meadows and pastures;1968;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1969;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1969;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;1969;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1970;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1970;1000 ha;305;305000;3050;Imputed value;
Haiti;Area;Permanent meadows and pastures;1970;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1971;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1971;1000 ha;310;310000;3100;Imputed value;
Haiti;Area;Permanent meadows and pastures;1971;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1972;1000 ha;768;768000;7680;Official figure;
Haiti;Area;Permanent crops;1972;1000 ha;316;316000;3160;Official figure;
Haiti;Area;Permanent meadows and pastures;1972;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1973;1000 ha;768;768000;7680;Imputed value;
Haiti;Area;Permanent crops;1973;1000 ha;315;315000;3150;Imputed value;
Haiti;Area;Permanent meadows and pastures;1973;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1974;1000 ha;768;768000;7680;Official figure;
Haiti;Area;Permanent crops;1974;1000 ha;315;315000;3150;Imputed value;
Haiti;Area;Permanent meadows and pastures;1974;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1975;1000 ha;768;768000;7680;Official figure;
Haiti;Area;Permanent crops;1975;1000 ha;315;315000;3150;Imputed value;
Haiti;Area;Permanent meadows and pastures;1975;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1976;1000 ha;770;770000;7700;Imputed value;
Haiti;Area;Permanent crops;1976;1000 ha;315;315000;3150;Imputed value;
Haiti;Area;Permanent meadows and pastures;1976;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1977;1000 ha;770;770000;7700;Imputed value;
Haiti;Area;Permanent crops;1977;1000 ha;315;315000;3150;Imputed value;
Haiti;Area;Permanent meadows and pastures;1977;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1978;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1978;1000 ha;315;315000;3150;Imputed value;
Haiti;Area;Permanent meadows and pastures;1978;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1979;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1979;1000 ha;315;315000;3150;Imputed value;
Haiti;Area;Permanent meadows and pastures;1979;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1980;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1980;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1980;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1981;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1981;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1981;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1982;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1982;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1982;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1983;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1983;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1983;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1984;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1984;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1984;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1985;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1985;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1985;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1986;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1986;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1986;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1987;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1987;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1987;1000 ha;500;500000;5000;Imputed value;
Haiti;Area;Arable land;1988;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1988;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1988;1000 ha;499;499000;4990;Official figure;
Haiti;Area;Arable land;1989;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1989;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1989;1000 ha;498;498000;4980;Imputed value;
Haiti;Area;Arable land;1990;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1990;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1990;1000 ha;497;497000;4970;Imputed value;
Haiti;Area;Arable land;1991;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1991;1000 ha;320;320000;3200;Imputed value;
Haiti;Area;Permanent meadows and pastures;1991;1000 ha;496;496000;4960;Imputed value;
Haiti;Area;Arable land;1992;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1992;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;1992;1000 ha;495;495000;4950;Imputed value;
Haiti;Area;Arable land;1993;1000 ha;780;780000;7800;Imputed value;
Haiti;Area;Permanent crops;1993;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;1993;1000 ha;495;495000;4950;Imputed value;
Haiti;Area;Arable land;1994;1000 ha;800;800000;8000;Imputed value;
Haiti;Area;Permanent crops;1994;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;1994;1000 ha;495;495000;4950;Imputed value;
Haiti;Area;Arable land;1995;1000 ha;800;800000;8000;Imputed value;
Haiti;Area;Permanent crops;1995;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;1995;1000 ha;490;490000;4900;Official figure;
Haiti;Area;Arable land;1996;1000 ha;800;800000;8000;Imputed value;
Haiti;Area;Permanent crops;1996;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;1996;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;1997;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1997;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;1997;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;1998;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1998;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;1998;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;1999;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;1999;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;1999;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2000;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;2000;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;2000;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2001;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;2001;1000 ha;280;280000;2800;Imputed value;
Haiti;Area;Permanent meadows and pastures;2001;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2002;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;2002;1000 ha;280;280000;2800;Imputed value;
Haiti;Area;Permanent meadows and pastures;2002;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2003;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;2003;1000 ha;280;280000;2800;Imputed value;
Haiti;Area;Permanent meadows and pastures;2003;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2004;1000 ha;900;900000;9000;Imputed value;
Haiti;Area;Permanent crops;2004;1000 ha;280;280000;2800;Imputed value;
Haiti;Area;Permanent meadows and pastures;2004;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2005;1000 ha;1000;1000000;10000;Imputed value;
Haiti;Area;Permanent crops;2005;1000 ha;280;280000;2800;Imputed value;
Haiti;Area;Permanent meadows and pastures;2005;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2006;1000 ha;1000;1000000;10000;Imputed value;
Haiti;Area;Permanent crops;2006;1000 ha;280;280000;2800;Imputed value;
Haiti;Area;Permanent meadows and pastures;2006;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2007;1000 ha;1000;1000000;10000;Imputed value;
Haiti;Area;Permanent crops;2007;1000 ha;280;280000;2800;Imputed value;
Haiti;Area;Permanent meadows and pastures;2007;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2008;1000 ha;1000;1000000;10000;Imputed value;
Haiti;Area;Permanent crops;2008;1000 ha;280;280000;2800;Imputed value;
Haiti;Area;Permanent meadows and pastures;2008;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2009;1000 ha;1026;1026000;10260;Imputed value;
Haiti;Area;Permanent crops;2009;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;2009;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2010;1000 ha;1180;1180000;11800;Imputed value;
Haiti;Area;Permanent crops;2010;1000 ha;314;314000;3140;Imputed value;
Haiti;Area;Permanent meadows and pastures;2010;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2011;1000 ha;1180;1180000;11800;Imputed value;
Haiti;Area;Permanent crops;2011;1000 ha;339;339000;3390;Imputed value;
Haiti;Area;Permanent meadows and pastures;2011;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2012;1000 ha;1180;1180000;11800;Imputed value;
Haiti;Area;Permanent crops;2012;1000 ha;354;354000;3540;Imputed value;
Haiti;Area;Permanent meadows and pastures;2012;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2013;1000 ha;1180;1180000;11800;Imputed value;
Haiti;Area;Permanent crops;2013;1000 ha;398;398000;3980;Imputed value;
Haiti;Area;Permanent meadows and pastures;2013;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2014;1000 ha;1180;1180000;11800;Imputed value;
Haiti;Area;Permanent crops;2014;1000 ha;398;398000;3980;Imputed value;
Haiti;Area;Permanent meadows and pastures;2014;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2015;1000 ha;1180;1180000;11800;Imputed value;
Haiti;Area;Permanent crops;2015;1000 ha;398;398000;3980;Imputed value;
Haiti;Area;Permanent meadows and pastures;2015;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2016;1000 ha;1180;1180000;11800;Imputed value;
Haiti;Area;Permanent crops;2016;1000 ha;398;398000;3980;Imputed value;
Haiti;Area;Permanent meadows and pastures;2016;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2017;1000 ha;1180;1180000;11800;Imputed value;
Haiti;Area;Permanent crops;2017;1000 ha;340;340000;3400;Imputed value;
Haiti;Area;Permanent meadows and pastures;2017;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2018;1000 ha;1180;1180000;11800;Imputed value;
Haiti;Area;Permanent crops;2018;1000 ha;325;325000;3250;Imputed value;
Haiti;Area;Permanent meadows and pastures;2018;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2019;1000 ha;1000;1000000;10000;Imputed value;
Haiti;Area;Permanent crops;2019;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;2019;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2020;1000 ha;1000;1000000;10000;Imputed value;
Haiti;Area;Permanent crops;2020;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;2020;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2021;1000 ha;1005;1005000;10050;Imputed value;
Haiti;Area;Permanent crops;2021;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;2021;1000 ha;490;490000;4900;Imputed value;
Haiti;Area;Arable land;2022;1000 ha;1005;1005000;10050;Imputed value;
Haiti;Area;Permanent crops;2022;1000 ha;300;300000;3000;Imputed value;
Haiti;Area;Permanent meadows and pastures;2022;1000 ha;490;490000;4900;Imputed value;
;;;;;;14067000;140670;;
